School Year,ULCS Code,School Name,Number of Graduates,First-Fall Matriculation Rate
2019-2020,1010,John Bartram High School,142,14.79
2019-2020,1020,West Philadelphia High School,96,31.25
2019-2020,1030,High School of the Future,95,36.84
2019-2020,1050,Paul Robeson High School for Human Services,69,46.38
2019-2020,1100,William L. Sayre High School,75,21.33
2019-2020,1190,Motivation High School,94,39.36
2019-2020,2000,South Philadelphia High School,90,18.89
2019-2020,2010,Benjamin Franklin High School,59,27.12
2019-2020,2020,High School for Creative and Performing Arts,168,74.4
2019-2020,2140,Julia R. Masterman School,116,92.24
2019-2020,2160,Furness High School,144,38.89
2019-2020,2290,Franklin Learning Center,193,50.78
2019-2020,2410,Girard Academic Music Program,64,84.38
2019-2020,2620,Academy at Palumbo,187,75.4
2019-2020,2650,Science Leadership Academy,118,75.42
2019-2020,2670,Constitution High School,96,58.33
2019-2020,2680,The Science Leadership Academy at Beeber,115,70.43
2019-2020,4020,Overbrook High School,93,17.2
2019-2020,4030,High School of Engineering and Science,186,75.27
2019-2020,4060,Murrell Dobbins Career and Technical High School,125,20.8
2019-2020,4140,Strawberry Mansion High School,36,19.44
2019-2020,5020,Thomas A. Edison High School,168,13.69
2019-2020,5050,Philadelphia Military Academy,35,34.29
2019-2020,5060,Jules E. Mastbaum Area Vocational Technical High School,127,14.96
2019-2020,5070,Parkway Northwest High School,68,45.59
2019-2020,5080,Parkway Center City Middle College High School,115,56.52
2019-2020,5090,Parkway West High School,48,50
2019-2020,5150,William W. Bodine High School,139,74.1
2019-2020,5160,Penn Treaty High School,82,23.17
2019-2020,5520,Kensington High School for Creative and Performing Arts,104,17.31
2019-2020,5550,Kensington Health Sciences Academy,111,35.14
2019-2020,5610,Building 21,56,50
2019-2020,5620,The U School,41,26.83
2019-2020,5660,The LINC,36,8.33
2019-2020,5700,Kensington High School,103,21.36
2019-2020,6010,Central High School,537,81.19
2019-2020,6030,Roxborough High School,138,25.36
2019-2020,6040,Walter B. Saul High School,111,48.65
2019-2020,6050,Philadelphia High School for Girls,224,75.89
2019-2020,6060,Martin Luther King High School,96,15.63
2019-2020,6090,A. Philip Randolph Career and Technical High School,65,12.31
2019-2020,6400,Widener Memorial School,17,5.88
2019-2020,6460,Hill-Freedman World Academy,79,58.23
2019-2020,6540,Lankenau High School,103,69.9
2019-2020,7010,Frankford High School,183,18.03
2019-2020,7120,Samuel Fels High School,188,25.53
2019-2020,8010,Abraham Lincoln High School,308,29.87
2019-2020,8020,Northeast High School,748,52.41
2019-2020,8030,George Washington High School,262,43.51
2019-2020,8040,Arts Academy at Benjamin Rush,136,66.91
2019-2020,8090,Swenson Arts and Technology High School,132,34.85
2019-2020,8560,The Workshop School,50,38
2019-2020,8780,Philadelphia Virtual Academy,135,12.59
